,time,S,I,R
0,0.0,300.0,100.0,0.0
1,0.5,199.4171142578125,72.3602294921875,128.22265625
2,1.0,185.61679942764385,41.73415082932617,172.64904974303
3,1.5,200.0942316507853,24.787205084700705,175.118563264514
4,2.0,222.25869186876247,16.121132810270907,161.6201753209666
5,2.5,244.97720416981633,11.667216989054374,143.3555788411293
6,3.0,265.5117597427801,9.372265724557247,125.11597453266265
7,3.5,282.8696054206008,8.260097009202472,108.87029757019673
8,4.0,296.8090858085609,7.864744659553846,95.32616953188526
9,4.5,307.40711343633535,7.958296165063461,84.63459039860119
10,5.0,314.86563563378905,8.422703431615268,76.71166093459567
11,5.5,319.4355420351459,9.185024210142254,71.37943375471185
12,6.0,321.4037892004509,10.180495278064235,68.41571552148488
13,6.5,321.11334490533574,11.330418934742177,67.5562361599221
14,7.0,318.99096666481995,12.53309016779787,68.47594316738218
15,7.5,315.5575933221325,13.669999958301139,70.77240671956636
16,8.0,311.4015231434207,14.626638347835852,73.97183850874343
17,8.5,307.1121101271845,15.319593726965477,77.56829614585001
18,9.0,303.19530504295295,15.716267900500359,81.08842705654669
19,9.5,300.0051364357618,15.83710062805166,84.15776293618653
20,10.0,297.716347681456,15.740944845901012,86.54270747264299
21,10.5,296.34084213276685,15.503027987279191,88.15612987995395
22,11.0,295.772123594972,15.195684142655846,89.03219226237213
23,11.5,295.8372294026799,14.876962286658047,89.28580831066206
24,12.0,296.34152977743963,14.586907531025707,89.07156269153467
25,12.5,297.10030547364346,14.348786863803378,88.55090766255316
26,13.0,297.9571705487096,14.17248011779232,87.87034933349808
27,13.5,298.7921982118834,14.058233895462333,87.14956789265429
28,14.0,299.52307605299177,13.999951233992682,86.47697271301556
29,14.5,300.1020316749257,13.98780427981994,85.91016404525438
30,15.0,300.51045501363507,14.010232102256442,85.4793128841085
31,15.5,300.7524699252732,14.055451069797243,85.19207900492955
32,16.0,300.848264773842,14.112577102146934,85.03915812401107
33,16.5,300.8277385858343,14.172411217806726,84.99985019635896
34,17.0,300.7248747318756,14.227908586259904,85.04721668186448
35,17.5,300.5731451524401,14.274347125886031,85.15250772167389
36,18.0,300.4021318489382,14.3092286334997,85.28863951756209
37,18.5,300.23541920606664,14.331970008544154,85.43261078538922
38,19.0,300.08967568719135,14.343460983602931,85.56686332920572
39,19.5,299.9747308668877,14.34556990201208,85.67969923110024
40,20.0,299.8943832108371,14.340669521917585,85.76494726724533
41,20.5,299.8476525619479,14.331234989412149,85.82111244863997
42,21.0,299.8302131760707,14.319542576931052,85.85024424699826
43,21.5,299.8357944221479,14.307476301137656,85.85672927671445
44,22.0,299.857400819617,14.296433543701445,85.84616563668156
45,22.5,299.8882673080539,14.287311257886632,85.82442143405946
46,23.0,299.9225205651842,14.280550485490531,85.79692894932528
47,23.5,299.95555856654545,14.276217177184055,85.7682242562705
48,24.0,299.9841877751555,14.274100085939768,85.74171213890476
49,24.5,300.00657190673894,14.27381048513306,85.719617608128
50,25.0,300.0220506668879,14.274872759757233,85.70307657335489
51,25.5,300.03088393668133,14.276798992095515,85.69231707122316
52,26.0,300.0339691231142,14.279144214796508,85.68688666208928
53,26.5,300.0325689529901,14.281541883978383,85.6858891630315
54,27.0,300.0280756306015,14.283721270488442,85.68820309891005
55,27.5,300.02182635616276,14.285509878241433,85.69266376559581
56,28.0,300.0149756805505,14.28682472605456,85.69819959339495
57,28.5,300.0084226476223,14.287656470230985,85.70392088214672
58,29.0,300.0027854012969,14.288050030065062,85.70916456863806
59,29.5,299.99841287135627,14.288084755717652,85.71350237292609
60,30.0,299.9954220370765,14.28785639443963,85.71672156848389
61,30.5,299.9937496963299,14.287462295633283,85.7187880080368
62,31.0,299.99320917268324,14.286990546867042,85.71980028044972
63,31.5,299.9935445143668,14.286513116471328,85.71994236916186
64,32.0,299.9944770749683,14.286082625408309,85.71944029962339
65,32.5,299.99574160253917,14.285732085751858,85.71852631170897
66,33.0,299.9971108867555,14.285476809274776,85.71741230396975
67,33.5,299.99840950302547,14.285317679003956,85.71627281797058
68,34.0,299.9995182091637,14.285245055490813,85.7152367353455
69,34.5,300.00037111758445,14.285242724256594,85.71438615815896
70,35.0,300.00094794870944,14.285291451358653,85.7137605999319
71,35.5,300.0012635571058,14.285371876012498,85.7133645668817
72,36.0,300.0013566055099,14.285466615088232,85.71317677940186
73,36.5,300.0012788331666,14.285561573078494,85.71315959375488
74,37.0,300.00108590063377,14.28564653771082,85.71326756165541
75,37.5,300.0008303526749,14.285715195453742,85.71345445187137
76,38.0,300.0005568644895,14.285764725963082,85.71367840954741
77,38.5,300.0002996467156,14.285795135471256,85.71390521781316
78,39.0,300.00008168838883,14.285808472717903,85.71410983889326
79,39.5,299.9999154094397,14.285808043803272,85.714276546757
80,40.0,299.99980426231633,14.285797710216851,85.71439802746681
