,time,S,I,R
0,0.0,300.0,100.0,0.0
1,0.5,174.63134129842123,117.18180974324544,108.18684895833333
2,1.0,130.57894287036257,89.14701899622412,180.27403813341334
3,1.5,131.3833435828819,62.66869841605499,205.94795800106309
4,2.0,146.93006508469693,46.33054196109765,206.7393929542054
5,2.5,165.82310114663392,37.363536008015885,196.81336284535018
6,3.0,183.35136483477848,32.98553976071024,183.6630954045113
7,3.5,197.38902134737188,31.498595092835508,171.11238355979262
8,4.0,207.0569332418919,31.908166208193805,161.0349005499143
9,4.5,212.24544467050205,33.5399780253182,154.21457730417976
10,5.0,213.44820258038155,35.81348815701722,150.73830926260123
11,5.5,211.65637470407802,38.16938211310348,150.1742431828185
12,6.0,208.1620767083952,40.12599269346296,151.71193059814183
13,6.5,204.24932163658474,41.3891367389814,154.36154162443387
14,7.0,200.8914232162964,41.909348245969234,157.19922853773437
15,7.5,198.59918729924775,41.835624763306996,159.56518793744527
16,8.0,197.45572729594093,41.40641137977552,161.13786132428356
17,8.5,197.26198913104784,40.84991120866842,161.88809966028373
18,9.0,197.69632815412967,40.33096187095059,161.97270997491972
19,9.5,198.43360139081744,39.940361361850755,161.6260372473318
20,10.0,199.21277403123375,39.70723783205757,161.07998813670866
21,10.5,199.86299725862173,39.61870250087321,160.51830024050506
22,11.0,200.30220532692815,39.63877814498813,160.05901652808373
23,11.5,200.5200091832235,39.72372015878012,159.7562706579964
24,12.0,200.5536775268447,39.8329970836392,159.6133253895161
25,12.5,200.46368650422704,39.935885948293304,159.60042754747965
26,13.0,200.31336020951576,40.014020064470515,159.67261972601372
27,13.5,200.15511024371662,40.06067340660058,159.7842163496828
28,14.0,200.02377824072022,40.07794890927133,159.89827285000845
29,14.5,199.93597179943026,40.073145288308474,159.99088291226127
30,15.0,199.8933852662328,40.05535917095099,160.0512555628162
31,15.5,199.88795381716096,40.03296350595814,160.0790826768809
32,16.0,199.90709029455624,40.01217211452814,160.08073759091562
33,16.5,199.93789677121399,39.99658160796314,160.0655216208229
34,17.0,199.96987708687476,39.98741504890904,160.0427078642162
35,17.5,199.99616236947946,39.984153024108366,160.01968460641217
36,18.0,200.01355606933794,39.98528031728514,160.00116361337692
37,18.5,200.02182579722339,39.9889564078242,159.98921779495242
38,19.0,200.02266070031345,39.99350454585803,159.98383475382852
39,19.5,200.01862574572215,39.99768857164187,159.98368568263598
40,20.0,200.01232371964736,40.000799818560736,159.9868764617919
41,20.5,200.00585722599544,40.00260608309681,159.99153669090776
42,21.0,200.00058900233495,40.00322336755255,159.9961876301125
43,21.5,199.99713938675754,40.00296453324665,159.9998960799958
44,22.0,199.9955343306295,40.00220387879807,160.00226179057242
45,22.5,199.99541875788213,40.0012791293462,160.00330211277168
46,23.0,199.9962682140856,40.00043685378142,160.00329493213297
47,23.5,199.99755677890505,39.99981633261892,160.00262688847602
48,24.0,199.99886350954554,39.999460971704025,160.00167551875043
49,24.5,199.9999185958063,39.99934482293723,160.0007365812565
50,25.0,200.00060211167028,39.999403313355494,159.99999457497424
51,25.5,200.00091304879166,39.99956044933695,159.9995265018714
52,26.0,200.00092579353003,39.99974831690326,159.9993258895667
53,26.5,200.00074742619987,39.99991778560607,159.99933478819406
54,27.0,200.00048413740444,40.0000414950484,159.99947436754715
55,27.5,200.00022017167845,40.000111359780234,159.9996684685413
56,28.0,200.0000089326514,40.000133110183434,159.99985795716515
57,28.5,199.99987356940156,40.000120058415746,160.0000063721827
58,29.0,199.99981343973292,40.000087629803986,160.00009893046308
59,29.5,199.99981298780233,40.00004947955122,160.00013753264645
60,30.0,199.99985036053187,40.00001539385567,160.00013424561246
61,30.5,199.99990412372404,39.99999074194353,160.00010513433244
62,31.0,199.9999574242178,39.99997701904928,160.00006555673292
63,31.5,199.99999969909067,39.999972969834474,160.00002733107488
64,32.0,200.00002648971667,39.99997585258643,159.9999976576969
65,32.5,200.0000380949888,39.99998253786448,159.9999793671467
66,33.0,200.00003776175154,39.999990281240166,159.99997195700828
67,33.5,200.0000299470018,39.99999713436638,159.99997291863184
68,34.0,200.00001897540537,40.00000204458815,159.9999789800065
69,34.5,200.00000821710242,40.0000047375615,159.99998704533607
70,35.0,199.99999976005242,40.000005486306506,159.9999947536411
71,35.5,199.99999446105258,40.00000485495899,160.00000068398845
72,36.0,199.99999222591444,40.000003478125066,160.00000429596048
73,36.5,199.99999237811653,40.000001907178465,160.000005714705
74,37.0,199.99999400916388,40.00000052983616,160.00000546099994
75,37.5,199.99999624682957,39.99999955226222,160.00000420090822
76,38.0,199.9999984174581,39.99999902431138,160.0000025582305
77,38.5,200.00000010860228,39.999998886966196,160.0000010044315
78,39.0,200.00000115602867,39.999999024254585,159.99999981971675
79,39.5,200.00000158551876,39.99999930754573,159.99999910693552
80,40.0,200.00000153780718,39.99999962610706,159.99999883608575
81,40.5,200.00000119797284,39.99999990282104,159.99999889920613
82,41.0,200.00000074186394,40.00000009735368,159.99999916078238
83,41.5,200.0000003040819,40.00000020075093,159.99999949516717
84,42.0,199.9999999660435,40.00000022570309,159.9999998082534
85,42.5,199.99999975914258,40.0000001960305,160.00000004482692
86,43.0,199.9999996768222,40.00000013779431,160.0000001853835
87,43.5,199.99999968984974,40.00000007322458,160.00000023692567
88,44.0,199.9999997605416,40.000000017652546,160.00000022180583
89,44.5,199.99999985345895,39.99999997896017,160.00000016758088
90,45.0,199.99999994171858,39.99999995873209,160.0000000995493
91,45.5,200.00000000926045,39.99999995425213,160.00000003648742
92,46.0,200.00000005010182,39.9999999606317,159.99999998926648
93,46.5,200.0000000658365,39.999999972593,159.9999999615705
94,47.0,200.00000006252796,39.999999985674954,159.9999999517971
95,47.5,200.0000000478448,39.99999999683118,159.99999995532403
96,48.0,200.0000000289263,40.00000000452326,159.99999996655043
97,48.5,200.00000001113943,40.00000000847605,159.99999998038453
98,49.0,199.99999999764984,40.00000000926855,159.99999999308162
99,49.5,199.99999998959373,40.00000000790324,160.00000000250304
100,50.0,199.99999998659544,40.0000000054485,160.00000000795606
